,Date,Ticker,Representative,Transaction,Amount,Range
42,2020-10-15,CMCSA, Peter J. Visclosky,Sale,1001.0,"$1,001-$15,000"
43,2020-08-18,CMCSA, John Rutherford,Purchase,1001.0,"$1,001-$15,000"
44,2020-07-27,CMCSA, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
45,2020-06-24,CMCSA, John A. Yarmuth,Sale,1001.0,"$1,001-$15,000"
46,2020-06-01,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
47,2020-04-29,CMCSA, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
48,2020-04-29,CMCSA, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
49,2020-04-17,CMCSA, Steve Cohen,Sale,1001.0,"$1,001-$15,000"
50,2020-04-17,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
51,2020-04-17,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
52,2020-03-27,CMCSA, John Curtis,Purchase,1001.0,"$1,001-$15,000"
53,2020-03-23,CMCSA, Zoe Lofgren,Sale,1001.0,"$1,001-$15,000"
54,2020-03-18,CMCSA, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
55,2020-03-05,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
56,2020-02-25,CMCSA, Cheri Bustos,Sale,15001.0,"$15,001-$50,000"
57,2020-02-10,CMCSA, Dean Phillips,Sale,1001.0,"$1,001-$15,000"
58,2020-01-09,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
59,2020-01-08,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
60,2019-12-30,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
61,2019-12-27,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
62,2019-12-26,CMCSA, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
63,2019-10-18,CMCSA, Cheri Bustos,Purchase,15001.0,"$15,001-$50,000"
64,2019-10-15,CMCSA, Kevin Hern,Purchase,1001.0,"$1,001-$15,000"
65,2019-08-28,CMCSA, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
66,2019-06-24,CMCSA, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
67,2019-03-25,CMCSA, Nicholas Van Taylor,Sale,1001.0,"$1,001-$15,000"
68,2019-02-05,CMCSA, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
69,2018-10-05,CMCSA, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
70,2018-08-28,CMCSA, Carlos Curbelo,Purchase,1001.0,"$1,001-$15,000"
71,2018-08-06,CMCSA, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
72,2018-07-12,CMCSA, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
73,2018-05-11,CMCSA, Thomas Macarthur,Sale,1001.0,"$1,001-$15,000"
74,2018-05-09,CMCSA, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
75,2018-05-08,CMCSA, Debbie Dingell,Purchase,15001.0,"$15,001-$50,000"
76,2018-03-13,CMCSA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
77,2018-02-22,CMCSA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
78,2018-02-12,CMCSA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
79,2017-11-03,CMCSA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
80,2017-10-12,CMCSA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
81,2023-02-27,QABSY, Daniel Goldman,Purchase,1001.0,"$1,001-$15,000"
82,2020-01-09,MSM, Greg Gianforte,Purchase,250001.0,"$250,001-$1,000,000"
83,2019-12-09,MSM, Greg Gianforte,Sale,250001.0,"$250,001-$1,000,000"
84,2019-10-11,MSM, Greg Gianforte,Purchase,250001.0,"$250,001-$1,000,000"
85,2019-09-10,MSM, Greg Gianforte,Sale,100001.0,"$100,001-250,000"
86,2019-01-23,MSM, Greg Gianforte,Sale,1001.0,"$1,001-$15,000"
87,2023-02-27,JAPAY, Daniel Goldman,Purchase,1001.0,"$1,001-$15,000"
88,2020-11-13,JAPAY, Greg Gianforte,Purchase,50001.0,"$50,001-$100,000"
89,2020-03-18,JAPAY, Greg Gianforte,Purchase,1001.0,"$1,001-$15,000"
90,2018-11-19,JAPAY, Greg Gianforte,Sale,15001.0,"$15,001-$50,000"
91,2018-04-30,JAPAY, John Rutherford,Sale,1001.0,"$1,001-$15,000"
92,2017-07-11,JAPAY, John Rutherford,Purchase,1001.0,"$1,001-$15,000"
93,2019-06-24,TRMK, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
94,2021-08-02,CNA, Marie Newman,Purchase,1001.0,"$1,001-$15,000"
95,2021-08-02,CNA, Marie Newman,Purchase,1001.0,"$1,001-$15,000"
96,2021-08-02,CNA, Marie Newman,Purchase,1001.0,"$1,001-$15,000"
97,2021-01-28,ATO,Mr. Peter Meijer,Sale,1001.0,"$1,001-$15,000"
98,2021-01-13,ATO,Mr. Peter Meijer,Purchase,1001.0,"$1,001-$15,000"
99,2020-09-23,ATO, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
100,2020-04-02,ATO, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
101,2020-04-02,ATO, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
102,2020-01-13,ATO, Michael John Gallagher,Sale,1001.0,"$1,001-$15,000"
103,2023-02-24,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
104,2022-11-18,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
105,2022-08-24,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
106,2022-06-10,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
107,2022-05-19,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
108,2022-05-17,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
109,2022-05-06,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
110,2022-05-03,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
111,2022-04-25,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
112,2022-04-07,SIRE, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
113,2022-03-30,SIRE, Virginia Foxx,Purchase,15001.0,"$15,001-$50,000"
114,2021-03-30,SIRE, Virginia Foxx,Purchase,15001.0,"$15,001-$50,000"
115,2022-08-15,TFC$R," Neal Patrick Md, Facs Dunn",Purchase,15001.0,"$15,001-$50,000"
116,2022-11-08,KOD, Christopher L. Jacobs,Sale,1001.0,"$1,001-$15,000"
117,2022-07-18,KOD, Christopher L. Jacobs,Purchase,1001.0,"$1,001-$15,000"
118,2022-12-30,HES, Virginia Foxx,Sale,50001.0,"$50,001-$100,000"
119,2022-08-04,HES, Virginia Foxx,Purchase,1001.0,"$1,001-$15,000"
120,2022-08-03,HES, Virginia Foxx,Purchase,15001.0,"$15,001-$50,000"
121,2022-01-11,HES, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
122,2022-01-10,HES, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
123,2021-03-16,HES, Lois Frankel,Sale,1001.0,"$1,001-$15,000"
124,2021-03-15,HES, Lois Frankel,Sale,1001.0,"$1,001-$15,000"
125,2018-09-13,HES, Lois Frankel,Sale,1001.0,"$1,001-$15,000"
126,2018-04-10,HES, Lois Frankel,Sale,1001.0,"$1,001-$15,000"
127,2021-12-21,ITUB, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
128,2021-01-28,ITUB,Mr. Peter Meijer,Sale,1001.0,"$1,001-$15,000"
129,2020-06-05,ITUB, Greg Gianforte,Purchase,100001.0,"$100,001-250,000"
130,2020-06-03,ITUB, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
131,2020-06-02,ITUB, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
132,2020-01-13,ITUB, Greg Gianforte,Sale,15001.0,"$15,001-$50,000"
133,2019-06-24,ITUB, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
134,2019-03-21,ITUB, Greg Gianforte,Sale,50001.0,"$50,001-$100,000"
135,2019-03-15,ITUB, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
136,2019-02-15,ITUB, Donna Shalala,Purchase,1001.0,"$1,001-$15,000"
137,2023-02-27,HXGBY, Daniel Goldman,Purchase,1001.0,"$1,001-$15,000"
138,2020-03-18,HXGBY, Greg Gianforte,Purchase,1001.0,"$1,001-$15,000"
139,2021-12-23,QMCO, Debbie Wasserman Schultz,Purchase,1001.0,"$1,001-$15,000"
140,2021-12-23,QMCO, Debbie Wasserman Schultz,Purchase,1001.0,"$1,001-$15,000"
141,2021-12-23,QMCO, Debbie Wasserman Schultz,Purchase,1001.0,"$1,001-$15,000"
142,2023-02-27,UL, Daniel Goldman,Purchase,1001.0,"$1,001-$15,000"
143,2023-01-13,UL, Daniel Goldman,Purchase,15001.0,"$15,001-$50,000"
144,2022-03-31,UL, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
145,2022-03-30,UL, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
146,2022-03-14,UL, Earl Blumenauer,Sale,1001.0,"$1,001-$15,000"
147,2022-02-24,UL, Earl Blumenauer,Purchase,1001.0,"$1,001-$15,000"
148,2021-04-09,UL, Sara Jacobs,Sale,15001.0,"$15,001-$50,000"
149,2021-02-17,UL,Mr. Peter Meijer,Sale,15001.0,"$15,001-$50,000"
150,2020-12-16,UL, Cindy Axne,Sale,1001.0,"$1,001-$15,000"
151,2020-12-16,UL, Cindy Axne,Sale,1001.0,"$1,001-$15,000"
152,2020-12-16,UL, Cindy Axne,Sale,1001.0,"$1,001-$15,000"
153,2020-12-11,UL, Cindy Axne,Sale,1001.0,"$1,001-$15,000"
154,2020-05-18,UL, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
155,2020-04-16,UL, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
156,2020-04-16,UL, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
157,2020-03-30,UL, Greg Gianforte,Purchase,15001.0,"$15,001-$50,000"
158,2020-03-26,UL, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
159,2020-03-03,UL, Earl Blumenauer,Purchase,1001.0,"$1,001-$15,000"
160,2020-02-10,UL, Dean Phillips,Sale,1001.0,"$1,001-$15,000"
161,2020-01-28,UL, Cindy Axne,Purchase,1001.0,"$1,001-$15,000"
162,2020-01-28,UL, Cindy Axne,Purchase,1001.0,"$1,001-$15,000"
163,2020-01-28,UL, Cindy Axne,Purchase,1001.0,"$1,001-$15,000"
164,2020-01-13,UL, Greg Gianforte,Purchase,15001.0,"$15,001-$50,000"
165,2019-11-11,UL, Greg Gianforte,Sale,15001.0,"$15,001-$50,000"
166,2019-06-24,UL, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
167,2019-04-04,UL, Dean Phillips,Sale,1001.0,"$1,001-$15,000"
168,2019-03-18,UL, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
169,2019-03-15,UL, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
170,2022-10-25,USO, Daniel Crenshaw,Purchase,1001.0,"$1,001-$15,000"
171,2020-12-11,USO, Michael Garcia,Sale,15001.0,"$15,001-$50,000"
172,2020-04-20,USO, Adam Kinzinger,Purchase,1001.0,"$1,001-$15,000"
173,2020-04-20,USO, Adam Kinzinger,Sale,1001.0,"$1,001-$15,000"
174,2023-02-15,CSCO, Scott Mr Franklin,Sale,15001.0,"$15,001-$50,000"
175,2023-01-11,CSCO, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
176,2022-10-12,CSCO, Kathy Manning,Sale,1001.0,"$1,001-$15,000"
177,2022-09-13,CSCO, Scott Franklin,Purchase,1001.0,"$1,001-$15,000"
178,2022-09-13,CSCO, Scott Franklin,Purchase,15001.0,"$15,001-$50,000"
179,2022-07-15,CSCO, Kathy Manning,Purchase,1001.0,"$1,001-$15,000"
180,2022-03-14,CSCO, Earl Blumenauer,Sale,1001.0,"$1,001-$15,000"
181,2022-02-24,CSCO, Earl Blumenauer,Purchase,1001.0,"$1,001-$15,000"
182,2021-11-18,CSCO, Peter Welch,Sale,15001.0,"$15,001-$50,000"
183,2021-10-28,CSCO, Kim Dr Schrier,Sale,15001.0,"$15,001-$50,000"
184,2021-09-30,CSCO, Zoe Lofgren,Purchase,1001.0,"$1,001-$15,000"
185,2021-09-16,CSCO, Katherine M. Clark,Sale,1001.0,"$1,001-$15,000"
186,2021-08-26,CSCO, Robert J. Wittman,Sale,1001.0,"$1,001-$15,000"
187,2021-08-02,CSCO, Zoe Lofgren,Sale,1001.0,"$1,001-$15,000"
188,2021-07-27,CSCO, Katherine M. Clark,Purchase,1001.0,"$1,001-$15,000"
189,2021-07-27,CSCO, Katherine M. Clark,Purchase,1001.0,"$1,001-$15,000"
190,2021-03-05,CSCO, John A. Yarmuth,Purchase,1001.0,"$1,001-$15,000"
191,2021-03-04,CSCO, Carol Devine Miller,Purchase,1001.0,"$1,001-$15,000"
192,2021-02-23,CSCO, John Rutherford,Sale,1001.0,"$1,001-$15,000"
193,2021-02-08,CSCO, Mo Brooks,Sale,1001.0,"$1,001-$15,000"
194,2020-12-18,CSCO, Dean Phillips,Purchase,1001.0,"$1,001-$15,000"
195,2020-09-10,CSCO, John A. Yarmuth,Sale,1001.0,"$1,001-$15,000"
196,2020-08-27,CSCO, John A. Yarmuth,Sale,1001.0,"$1,001-$15,000"
197,2020-08-07,CSCO, Joe Courtney,Sale,1001.0,"$1,001-$15,000"
198,2020-07-28,CSCO, Carol Devine Miller,Purchase,15001.0,"$15,001-$50,000"
199,2020-06-16,CSCO, Zoe Lofgren,Purchase,1001.0,"$1,001-$15,000"
200,2020-03-11,CSCO, John A. Yarmuth,Sale,15001.0,"$15,001-$50,000"
201,2020-03-11,CSCO, John A. Yarmuth,Sale,1001.0,"$1,001-$15,000"
202,2020-02-21,CSCO, Alan S. Lowenthal,Sale,1001.0,"$1,001-$15,000"
203,2020-02-20,CSCO, Mikie Sherrill,Sale,1001.0,"$1,001-$15,000"
204,2020-02-19,CSCO, Alan S. Lowenthal,Sale,15001.0,"$15,001-$50,000"
205,2020-02-19,CSCO, Alan S. Lowenthal,Sale,1001.0,"$1,001-$15,000"
206,2020-02-19,CSCO, Alan S. Lowenthal,Sale,1001.0,"$1,001-$15,000"
207,2020-02-13,CSCO, Thomas Suozzi,Sale,15001.0,"$15,001-$50,000"
208,2020-02-11,CSCO, Mo Brooks,Sale,1001.0,"$1,001-$15,000"
209,2019-12-31,CSCO, Joe Courtney,Purchase,1001.0,"$1,001-$15,000"
210,2019-10-17,CSCO, Thomas Suozzi,Sale,1001.0,"$1,001-$15,000"
211,2019-10-17,CSCO, Thomas Suozzi,Sale,1001.0,"$1,001-$15,000"
212,2019-10-09,CSCO, Alan S. Lowenthal,Purchase,328.23,$328.23
213,2019-10-09,CSCO, Alan S. Lowenthal,Purchase,1001.0,"$1,001-$15,000"
214,2019-08-28,CSCO, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
215,2019-08-21,CSCO, Alan S. Lowenthal,Purchase,1001.0,"$1,001-$15,000"
216,2019-05-30,CSCO, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
217,2019-03-25,CSCO, Nicholas Van Taylor,Sale,1001.0,"$1,001-$15,000"
218,2019-02-05,CSCO, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
219,2019-01-04,CSCO, Dean Phillips,Sale,1001.0,"$1,001-$15,000"
220,2018-10-05,CSCO, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
221,2018-10-05,CSCO, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
222,2018-10-05,CSCO, Gary Palmer,Sale,1001.0,"$1,001-$15,000"
223,2018-10-01,CSCO, Thomas Suozzi,Purchase,1001.0,"$1,001-$15,000"
224,2018-08-06,CSCO, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
225,2018-07-30,CSCO, Jackie Speier,Sale,1001.0,"$1,001-$15,000"
226,2018-07-12,CSCO, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
227,2018-05-17,CSCO, Earl Blumenauer,Purchase,1001.0,"$1,001-$15,000"
228,2017-08-17,CSCO, Thomas Suozzi,Purchase,1001.0,"$1,001-$15,000"
229,2017-07-17,CSCO, John Rutherford,Purchase,1001.0,"$1,001-$15,000"
230,2017-04-04,CSCO, Gary Palmer,Purchase,1001.0,"$1,001-$15,000"
231,2019-03-06,CTB, Donna Shalala,Sale,1001.0,"$1,001-$15,000"
232,2020-10-01,PBF, Lois Frankel,Sale,1001.0,"$1,001-$15,000"
233,2020-05-28,PBF, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
234,2019-09-25,PBF, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
235,2019-09-24,PBF, Lois Frankel,Purchase,1001.0,"$1,001-$15,000"
236,2019-06-14,PBF, Bill Flores,Sale,1001.0,"$1,001-$15,000"
237,2019-05-08,PBF, Bill Flores,Purchase,1001.0,"$1,001-$15,000"
238,2019-03-25,PBF, Bill Flores,Purchase,1001.0,"$1,001-$15,000"
239,2022-02-11,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
240,2022-02-11,BABA, James R. Langevin,Sale,50001.0,"$50,001-$100,000"
241,2021-12-08,BABA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
242,2021-10-18,BABA, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
243,2021-09-15,BABA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
244,2021-07-07,BABA, Ed Perlmutter,Sale,1001.0,"$1,001-$15,000"
245,2021-06-14,BABA, Ed Perlmutter,Sale,1001.0,"$1,001-$15,000"
246,2021-05-24,BABA, Pete Sessions,Purchase,1001.0,"$1,001-$15,000"
247,2021-05-11,BABA, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
248,2021-05-11,BABA, Ed Perlmutter,Purchase,1001.0,"$1,001-$15,000"
249,2021-03-31,BABA,Ashley Hinson Arenholz,Sale,1001.0,"$1,001-$15,000"
250,2021-03-31,BABA, Elaine Luria,Sale,250001.0,"$250,001-$1,000,000"
251,2021-03-26,BABA, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
252,2021-03-04,BABA, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
253,2021-03-03,BABA, James R. Langevin,Purchase,1001.0,"$1,001-$15,000"
254,2021-02-25,BABA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
255,2021-02-25,BABA, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
256,2021-02-24,BABA, Blake Moore,Purchase,1001.0,"$1,001-$15,000"
257,2021-02-23,BABA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
258,2021-02-17,BABA,Mr. Peter Meijer,Sale,15001.0,"$15,001-$50,000"
259,2021-02-16,BABA, Josh Gottheimer,Sale,1001.0,"$1,001-$15,000"
260,2021-01-28,BABA,Mr. Peter Meijer,Sale,1001.0,"$1,001-$15,000"
261,2021-01-22,BABA, Marie Newman,Sale,15001.0,"$15,001-$50,000"
262,2021-01-22,BABA, Marie Newman,Sale,15001.0,"$15,001-$50,000"
263,2021-01-22,BABA,Marie Newman,Sale,15001.0,"$15,001-$50,000"
264,2020-12-31,BABA, Gilbert Cisneros,Sale,50001.0,"$50,001-$100,000"
265,2020-12-28,BABA, Alan S. Lowenthal,Sale,15001.0,"$15,001-$50,000"
266,2020-12-28,BABA, Alan S. Lowenthal,Sale,669.27,$669.27
267,2020-12-24,BABA, Alan S. Lowenthal,Sale,1001.0,"$1,001-$15,000"
268,2020-12-23,BABA, Gilbert Cisneros,Purchase,1001.0,"$1,001-$15,000"
269,2020-11-30,BABA, Alan S. Lowenthal,Purchase,1001.0,"$1,001-$15,000"
270,2020-11-11,BABA, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
271,2020-11-09,BABA, Ed Perlmutter,Purchase,1001.0,"$1,001-$15,000"
272,2020-10-09,BABA, Joe Courtney,Sale,15001.0,"$15,001-$50,000"
273,2020-09-25,BABA, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
274,2020-08-06,BABA, Alan S. Lowenthal,Purchase,791.84,$791.84
275,2020-08-06,BABA, Alan S. Lowenthal,Purchase,15001.0,"$15,001-$50,000"
276,2020-07-08,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
277,2020-07-08,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
278,2020-07-06,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
279,2020-06-23,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
280,2020-06-09,BABA, Roger W. Marshall,Sale,1001.0,"$1,001-$15,000"
281,2020-05-22,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
282,2020-05-12,BABA, Roger W. Marshall,Sale,1001.0,"$1,001-$15,000"
283,2020-05-12,BABA, Greg Gianforte,Purchase,100001.0,"$100,001-250,000"
284,2020-05-08,BABA, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
285,2020-05-04,BABA, Roger W. Marshall,Purchase,1001.0,"$1,001-$15,000"
286,2020-03-16,BABA, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
287,2020-02-20,BABA, Mikie Sherrill,Sale,15001.0,"$15,001-$50,000"
288,2020-01-13,BABA, James R. Langevin,Sale,15001.0,"$15,001-$50,000"
289,2020-01-02,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
290,2019-12-06,BABA, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
291,2019-12-05,BABA, Roger W. Marshall,Sale,1001.0,"$1,001-$15,000"
292,2019-12-03,BABA, Roger W. Marshall,Purchase,1001.0,"$1,001-$15,000"
293,2019-11-27,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
294,2019-11-26,BABA, Josh Gottheimer,Purchase,1001.0,"$1,001-$15,000"
295,2019-10-15,BABA, James R. Langevin,Sale,50001.0,"$50,001-$100,000"
296,2019-10-15,BABA, Dwight Evans,Purchase,1001.0,"$1,001-$15,000"
297,2019-09-27,BABA, James R. Langevin,Purchase,50001.0,"$50,001-$100,000"
298,2019-09-16,BABA, Gilbert Cisneros,Sale,1001.0,"$1,001-$15,000"
299,2019-06-20,BABA, Bradley S. Schneider,Sale,100001.0,"$100,001-250,000"
300,2019-05-29,BABA, Mikie Sherrill,Sale,1001.0,"$1,001-$15,000"
301,2019-04-12,BABA, James R. Langevin,Sale,15001.0,"$15,001-$50,000"
302,2019-04-10,BABA, James R. Langevin,Sale,50001.0,"$50,001-$100,000"
303,2019-03-25,BABA, Nicholas Van Taylor,Sale,1001.0,"$1,001-$15,000"
304,2019-02-25,BABA, James R. Langevin,Purchase,50001.0,"$50,001-$100,000"
305,2019-02-22,BABA, James R. Langevin,Sale,1001.0,"$1,001-$15,000"
306,2019-02-19,BABA, Bradley S. Schneider,Purchase,100001.0,"$100,001-250,000"
307,2018-12-19,BABA, Zoe Lofgren,Sale,1001.0,"$1,001-$15,000"
308,2018-12-17,BABA, James R. Langevin,Purchase,100001.0,"$100,001-250,000"
309,2018-12-06,BABA, James R. Langevin,Purchase,100001.0,"$100,001-250,000"
310,2018-11-19,BABA, James R. Langevin,Sale,100001.0,"$100,001-250,000"
311,2018-11-09,BABA, James R. Langevin,Purchase,100001.0,"$100,001-250,000"
312,2018-11-02,BABA, Zoe Lofgren,Purchase,1001.0,"$1,001-$15,000"
313,2018-11-01,BABA, James R. Langevin,Purchase,1001.0,"$1,001-$15,000"
314,2018-10-31,BABA, James R. Langevin,Sale,100001.0,"$100,001-250,000"
